+ + + + + + + i+# i+# + + + + + + +
+ i+# i+# i+# i+# i+# i+# i+# i+# i+# i+# i+# i+# i+# i+# i+#
. i i i i i+# i i i i i i i i i+# i+#
# i+# i+# i i+# i i i i i i i i i i+# +
. i i+# i i+# i i i+L i i i i i i i+# +
i+# i i+# i i+# i+# i+# i+# i i i+# i i i i+# +
i+# i i+# i i+# i+# i i i i i i i i i+# +
i+# i i+# i i+# i+# i i i i i i i+# i i+# +
i+# i i+# i i+# i+# i+l i i i i i i i i+# +
i+# i i+# i i+# i+# i i i i i i+# i i i+# +
i+# i+l i+# i i i i i i i i i i i i+# +
i+# # # i i i i i i i i i i i i+# +
+ i+# # i i+# i+# i # i i i i i i i+L +
+ + i+# i i+# i+# i i i i i i i i .+p .
+ + + i+# i+# i+# . . i+# i i i i i . .
+ + + + + i+# i+# . i+# i+# i+# i+# i+# i+# i+# i+#
