.+#+#+# .+#+#+#+# .+#+#+# .+#+#+#+# .+#+#+# .+#+#+#+# .+#+#+# .+#+#+#+# .+#+#+# .+#+#+#+# .+#+#+# .+#+#+#+# .+#+#+# .+#+#+#+# .+#+#+# .+#+#+#+#
+ + + + + . . . . . . . . . . .
+ + + + . . . . . . . . . . . .
+ + + . . . . . . . . . . . . .
+ + . . . . . . . . . . . . . .
+ + . . . . . . . . . . . . . .
+ + . . . . . . . . . . . . . .
+ + . . . . . . . . . . . . . .
+ + . . . . . . . . . . . . . .
+ + . . . . . . . . . . . . . .
+ + . . . . . . . . . . . . . .
+ + . . . . . . . . . . . . . .
+ + . . . . . . . . . . . . . .
+ + + . . . . . . . . + + . . .
+ + + + + . . + + + + + + + + .
+ + + + + + + + + + + + + + + +
