+ .+# .+# .+# .+# .+# .+# .+# .+# .+# .+# .+# .+# .+# .+# +
+ .+I + + .+ . . . . . . + + + + +
+ .+ + + . . . . . . . . . . + +
+ .+ + + . . . . . .+M2 . . . . + +
+ .+Sd + + . . . . . . . . . . + +
.+# .+# .+# .+# .+O .+O .+O . . . . .+# .+# .+# + +
.+# .+# .+# .+# . . .+O .+O . . . .+#+M0 .+#+M0 .+# + +
.+#+p .+# .+# .+# . .+o . .+O . . . .+#+M0 .+#+M0 .+# + +
.+# .+# .+#+M1 .+#+M1 . . . .+O . .+o . .+# .+# .+# + +
.+# .+# .+#+M1 .+#+M1 . . . .+O . . . .+# .+# .+# + +
.+# .+# .+# .+# . . . .+O .+O .+O .+O .+# .+# .+# + +
+ + . . . . . . . . . . .+L . .+#+# +
+ + . . . . . . . . . . . . .+#+# +
+ + . . . . . . . . . . . .+#+# .+#+# +
+ + + + + + + + + + + + + .+#+# .+#+G .+#
+ + + + + + + + + + + + + .+#+# .+#+# .+#+#
